citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,pH,alcohol,quality
0,0.076,11,34,3.51,9.4,5
0,0.098,25,67,3.2,9.8,5
0.04,0.092,15,54,3.26,9.8,5
0.56,0.075,17,60,3.16,9.8,6
0,0.076,11,34,3.51,9.4,5
0,0.075,13,40,3.51,9.4,5
0.06,0.069,15,59,3.3,9.4,5
0,0.065,15,21,3.39,10,7
0.02,0.073,9,18,3.36,9.5,7
0.36,0.071,17,102,3.35,10.5,5
0.08,0.097,15,65,3.28,9.2,5
0.36,0.071,17,102,3.35,10.5,5
0,0.089,16,59,3.58,9.9,5
0.29,0.114,9,29,3.26,9.1,5
0.18,0.176,52,145,3.16,9.2,5
0.19,0.17,51,148,3.17,9.2,5
0.56,0.092,35,103,3.3,10.5,7
0.28,0.368,16,56,3.11,9.3,5
0.08,0.086,6,29,3.38,9,4
0.51,0.341,17,56,3.04,9.2,6
0.48,0.077,29,60,3.39,9.4,6
0.31,0.082,23,71,3.52,9.7,5
0.21,0.106,10,37,3.17,9.5,5
0.11,0.084,9,67,3.17,9.4,5
0.14,0.085,21,40,3.43,9.7,6
0.16,0.08,11,23,3.34,9.3,5
0.24,0.08,4,11,3.28,9.5,5
0.21,0.106,10,37,3.17,9.5,5
0,0.08,14,35,3.47,9.4,5
0,0.082,8,16,3.38,9.8,6
0.07,0.089,17,82,3.35,10.1,5
0,0.105,22,37,3.46,10.6,6
0.12,0.083,15,113,3.17,9.8,5
0.12,0.073,40,83,3.45,9.4,6
0.25,0.103,13,50,3.38,9.2,5
0,0.086,5,18,3.4,9.6,6
0.14,0.086,3,15,3.42,10.8,6
0.28,0.066,13,30,3.23,9.7,7
0.09,0.172,7,19,3.5,9.8,4
0.36,0.074,12,87,3.33,10.5,5
0.36,0.074,12,87,3.33,10.5,5
0.3,0.088,17,46,3.26,9.3,4
0.2,0.332,8,14,3.21,10.5,6
0.22,0.069,9,23,3.3,10.3,5
0.02,0.05,5,11,3.48,9.5,5
0.15,0.054,8,65,3.9,13.1,4
0.43,0.114,22,114,3.25,9.2,5
0.52,0.113,12,37,3.25,9.5,5
0.23,0.066,5,12,3.34,9.2,5
0.37,0.074,12,96,3.32,9.2,5
0.26,0.074,4,23,3.15,9.2,5
0.04,0.069,8,15,3.4,9.4,6
0.04,0.068,6,14,3.39,9.4,6
0.36,0.081,30,119,3.2,9.4,5
0.15,0.11,33,73,3.17,10.2,6
0.04,0.084,25,45,3.34,9.5,5
0.57,0.07,4,10,3.04,9.6,5
0.12,0.111,50,110,3.26,9.4,5
0.18,0.076,17,54,3.43,10,5
0.31,0.074,9,46,3.41,9.4,6
0.4,0.079,19,52,3.44,9.2,5
0.49,0.115,20,112,3.21,9.3,5
0.16,0.085,12,35,3.38,9.5,7
0.05,0.081,13,54,3.39,9.8,5
0.05,0.086,4,11,3.41,10.9,5
0.05,0.086,4,11,3.41,10.9,5
0.11,0.079,11,39,3.42,9.6,5
0.07,0.076,6,15,3.44,10.7,5
0.57,0.074,27,65,3.28,10.7,5
0.05,0.074,8,19,3.34,10.5,6
0.08,0.076,15,27,3.32,9.5,6
0.23,0.088,17,96,3.32,9.5,5
0.22,0.084,18,94,3.31,9.5,5
0.26,0.084,11,43,3.31,9.2,4
0.54,0.094,28,83,3.28,9.6,5
0.64,0.093,9,42,3.54,10.5,5
0.64,0.093,9,42,3.54,10.5,5
0,0.104,14,30,3.52,10.7,6
0.12,0.086,12,80,3.38,10.1,5
0.2,0.08,27,119,3.16,9.1,4
0.2,0.069,3,15,3.41,9.2,5
0.7,0.464,22,67,3.13,9.4,5
0.47,0.086,21,73,3.36,9.1,5
0.26,0.401,16,51,3.16,9.4,5
0.48,0.069,18,61,3.44,10.3,6
0.15,0.076,19,40,3.41,10.1,5
0.28,0.11,20,136,2.93,9.9,6
0.26,0.062,9,31,3.39,9.6,5
0.44,0.107,34,125,3.14,9.5,5
0.08,0.076,8,24,3.48,9,5
0.26,0.079,42,140,3.23,9.5,5
0.28,0.11,20,136,2.93,9.9,6
0.29,0.11,19,133,2.93,9.8,5
0.26,0.062,9,31,3.39,9.6,5
0.04,0.045,41,85,3.75,10.5,4
0.17,0.058,17,106,3.85,12.9,6
0,0.102,8,23,3.45,10.7,5
0.25,0.07,3,22,3.25,9.2,5
0.06,0.079,5,10,3.39,9.8,5
0.18,0.08,13,35,3.3,9,6
0.3,0.084,11,50,3.4,10.2,6
0.3,0.075,8,22,3.31,10.4,6
0.18,0.08,13,35,3.3,9,6
0.22,0.077,12,65,3.29,9.2,5
0.24,0.07,5,36,3.33,9.4,5
0.22,0.077,12,65,3.29,9.2,5
0.68,0.467,18,69,3.08,9.3,5
0.31,0.088,15,64,3.46,9.3,5
0.53,0.091,18,80,3.37,9.6,6
0.52,0.122,37,153,3.21,9.3,5
0.19,0.104,12,47,3.19,9.5,5
0.09,0.084,11,108,3.15,9.8,5
0.1,0.085,14,111,3.15,9.8,5
0.44,0.08,22,46,3.32,9.7,6
0.19,0.104,12,47,3.19,9.5,5
0.31,0.09,13,62,3.07,10.5,6
0.28,0.077,11,40,3.39,10,6
0.12,0.082,7,28,3.37,9.4,6
0.04,0.119,14,56,3.21,10.9,6
0.08,0.097,22,89,3.34,9.2,6
0.09,0.178,10,89,3.3,9,5
0.04,0.119,14,56,3.21,10.9,6
0,0.075,3,13,3.49,9.2,5
0,0.08,11,34,3.44,9.5,5
0.17,0.082,21,102,3.39,9.5,5
0.04,0.146,27,90,3.16,9.4,5
0,0.081,3,12,3.53,10.9,5
0,0.082,3,12,3.54,10.9,5
0.16,0.065,3,16,3.42,10.5,7
0.15,0.072,6,19,3.42,9.4,5
0.56,0.118,30,134,3.24,9.4,5
0.09,0.049,17,99,3.63,13,5
0.09,0.049,17,99,3.63,13,5
0.01,0.06,17,26,3.4,9.8,6
